,lr_coef,rf_importance
UQCRFS1,0.0031742933805835255,0.0
CFLAR,-0.0008466491945853329,0.0
SOD1,0.004219697921860849,0.0
ARPC5L,0.0038290476320945507,0.0
PGK1,-1.2988541694548148e-05,0.0
CLTC,-0.001501138721868102,0.0
TRMT5,-0.0006627411305920411,0.00035424790951244574
HBB,-0.0006702569900572701,0.0
COX8A,0.0024588675903881047,0.0
NDUFB2,0.0014195016372080072,0.0
CDK5RAP3,-0.0015251505189969256,0.0
ADAR,0.0038151547621179996,0.0014492753623188408
MIR7703,0.003555289987039117,0.0
TUBB,0.0036963327674462343,0.0
CSDE1,-0.00042229749963713383,0.0
OPHN1,0.0030931204043609536,0.0
TSPAN3,0.0013613194649479002,0.0
GLRX,-0.00027488130828678216,0.0
HIGD2A,0.003314752270766778,0.0
GLG1,0.000663132149089505,0.0
DNAJC1,0.0001642269914041279,0.0
RP6-11O7.2,0.004135291439813698,0.00019956572236529827
MEF2C,-0.001126697023326427,0.0
FAXDC2,-0.001742082316743448,0.0
SKP1,0.0034887965649648975,0.0
SEC14L1,-0.0037012552178102643,0.0
IGKV1-37,-0.0023796652379903414,0.0
SEC61G,0.0003551483199790393,0.0
FBL,0.003857845438611671,0.0031049613332718357
DERL1,-0.0003437566215131058,0.0
ATP5G3,0.0009314232818572076,0.0
HEXB,0.0010587488745496016,0.0
HCLS1,0.00025013437577705287,0.0
ARMC2-AS1,0.003280091806008471,0.0017406919784216787
ATP5G2,0.002994586930530217,0.0014170538133952766
PSMB4,0.0019170535398587085,0.0
ZNF207,0.0003743680928398188,0.0
COX5A,0.0014897607703774692,0.0
NDUFC2,0.002584350749783762,0.0
LAPTM4A,-0.0006028576235011964,0.0
CNPY2,-0.0007270490323813176,0.0
RPN1,0.0016076803270936655,0.0
ANXA2,0.001956743541902306,0.0
CTSS,-0.0025443409503599895,0.0
IARS,-0.0006516526980356557,0.0
PRKCSH,0.002235369147437386,0.0
TMEM147,0.003903919632333483,0.0014956259426847662
UQCR11,0.005317212527408096,0.003045050778306656
PEBP1,-0.0005474580790937908,0.0
SLAMF7,-0.0023126755213277476,0.0
UFC1,-0.0003442685878133351,0.0
BMI1,0.0033950476142648256,0.0
EIF2AK3,-0.0028562562496733633,0.0
ICAM2,-0.0016631225145661863,0.0
FNDC3B,-0.0034315790827372855,0.0
HDLBP,0.0005784170801632623,0.0
C4A,2.4372363157178255e-07,0.0
PPA1,0.00035230547364638494,0.0
C14orf166,0.0011715857511437162,0.0
SLC38A2,0.00016864183334999174,0.0
UQCR10,0.0005046681979546531,0.0
GDI2,-0.0009630409993558641,0.0
UBE2D3,-0.0015875373085563191,0.0
DAZAP2,0.0009680576025211275,0.0
HNRNPH1,-0.0023634888508310458,0.0
HNRNPU,0.0011836460741252817,0.0
NR3C1,0.00037722122354569607,0.0
HLA-DOB,0.0006801257586298485,0.0
ARHGDIA,0.001292911877562233,0.0
NBPF10,-0.0017476043810013722,0.0
PELI1,0.0013330514990660478,0.0
POLR2L,0.003592174032489165,0.0
GLO1,0.0009265131029820253,0.0
NDUFA4,0.0030878725484508374,0.0005842696629213482
C20orf24,1.494224671196368e-05,0.0
LOC441155,0.0024318324839057485,0.0
ATP6V0C,0.0006861578944680246,0.0
H2AFZ,5.023787076599891e-05,0.0
SARAF,0.0010008122438808155,0.0
MMADHC,-0.00040866385997624796,0.0
PSMA1,0.0024806430826758027,0.0
MAGED1,-0.0010734184913836061,0.0
TRA2B,-0.0007189651287151282,0.0
COX5B,0.002901941113443565,0.0006228997623145642
UAP1,-9.521634268961797e-05,0.0
NME1,0.0015184135648825677,0.0
MAN2A1,0.002518662272532572,0.0
ATP5C1,0.003122710920406613,0.000851238593765522
IDH2,0.0017552440300700894,0.0
IGHA1,-0.004827446197724316,0.005208558608271664
YWHAB,-0.0019992206729048437,0.0
HNRNPK,-0.001198536903186345,5.200136845706458e-05
SRSF3,-0.00012791687711401873,0.0
MAPK1IP1L,-0.003193790823954873,0.0
DARS,-0.0007655182866269223,0.0
R3HDM4,-0.0032603111807123024,0.0
NSA2,0.0013521803899148451,0.0
LAMP1,-0.00230316435848334,0.0
TAF10,0.004291231616804756,0.0015073424443369438
CAP1,0.0017352633656935552,0.0
NARS,0.0007986295142713268,0.0
CD164,0.0018834609262089262,0.0
ATP5F1,0.0003622058265821931,0.0
NACAP1,0.0025811409367272912,0.0
RBM39,-0.003222544904048186,0.0
RPS10L,0.003740589624854754,0.0
TUFM,0.0005329925940163697,0.0
PRCP,-0.0034052002778372273,0.00033365853658536606
CARS,0.0022922081154445654,0.0
EIF2AK1,-0.003248181146791295,0.0
LOC101930075,-0.0029272070473524603,0.0
NDUFAB1,0.0029542373673604955,0.0
