,E2F Targets,Myc Targets V1,G2-M Checkpoint,Oxidative Phosphorylation,stage
GSM148952,0.3984520080873959,0.14509824672164043,0.4894576572807871,-0.06900249762555927,MM_Relapse
GSM148953,-0.1789194711969161,-0.8278144439873953,-0.06086942365125421,-0.8846918251470282,MGUS
GSM148954,-0.4030948366660796,-0.5495088218059319,-0.289639408232717,-0.43864946888608236,MGUS
GSM148955,-0.23332559294340074,0.718077392161555,-0.2825097206361886,0.37962078144552586,MM_New
GSM148956,0.24078293827517191,0.1096745339510148,0.2889467812370689,0.06706917848008204,MM_New
GSM148957,0.18696115567446878,-0.451168255365467,0.3197011825105269,-0.40045723310084896,SMM
GSM148958,0.3868939257851031,0.356118276549644,0.3193120203900817,0.4789915007041654,MM_New
GSM148959,0.8763064431172041,0.48188713451930815,0.6584525026802525,0.1852454986261181,MM_Relapse
GSM148960,0.20671908051926796,0.1598880716797942,0.10522711771825895,0.27447062275520895,MM_New
GSM148961,-0.5371731470075382,-0.5045404555944035,-0.5723355357265187,-0.19972809455318902,MM_New
GSM148962,-0.2295822437365513,-0.008912762712059827,-0.2261697095363332,0.0926306217075912,MM_Relapse
GSM148963,0.03882732802607736,-0.4322697036746356,-0.08298782187088721,-0.4917963908904524,MGUS
GSM148964,-0.18523233458432228,0.2546402536896364,-0.23455289816956199,0.49885531011184253,MM_New
GSM148965,-0.30081571999120515,-0.5643689589190007,-0.2518149526791907,-0.4864266610687144,SMM
GSM148966,-0.4160531742025923,-0.9915839874254186,-0.42760794868969,-0.8230619006094932,MGUS
GSM148967,0.8683048785707744,0.875673695638467,0.7846068385687901,0.7064979283987814,MM_New
GSM148968,-0.1844594624186468,-0.33314125717229287,-0.11739274354446606,-0.3870715837820474,MM_New
GSM148969,-0.1025323640027902,0.4008598384593762,-0.18094867572480325,0.4403608877604845,MM_Relapse
GSM148970,-0.7039886287837509,-0.7097657495438672,-0.5839542295946374,-0.3648811423644395,MGUS
GSM148971,0.09930751817290688,0.08215472080612816,0.07563826005437535,0.2483888994263769,MM_New
GSM148972,-0.501320755418313,-0.5879882172129086,-0.44231632187752434,-0.5162615173503877,MGUS
GSM148973,1.0105783697632222,0.553621621797053,0.948912034443574,0.41089586671155853,MM_New
