Gene Symbol,log2FC,pval,adj_pval,significant
GPKOW,0.2808650055776436,0.011256781341032375,0.5207248517904122,False
KLHL29,-0.7877556298029313,0.010165901688696565,0.5207248517904122,False
OSTF1,-0.2696753079811671,0.014337479038261478,0.5207248517904122,False
CENPN,0.4599156063992851,0.009961154474895675,0.5207248517904122,False
TXNRD2,-0.8345767590641557,0.011355122418163823,0.5207248517904122,False
RNF41,-0.703924128657567,0.014442932824835164,0.5207248517904122,False
XBP1,-0.4367803592873809,0.013119285855955225,0.5207248517904122,False
WASL,-0.2877298636182104,0.014489486734700343,0.5207248517904122,False
ME2,0.45507639904992914,0.014356213413362795,0.5207248517904122,False
S100A7,0.3579813341394935,0.009707548871461026,0.5207248517904122,False
MYH2,0.34005952563603703,0.011217092365532956,0.5207248517904122,False
CEBPA-AS1,-0.264855861909691,0.013965587570969804,0.5207248517904122,False
PPP6R2,-0.45181942922989116,0.013277818282378133,0.5207248517904122,False
TRDMT1,0.4379351885808127,0.012578191624454848,0.5207248517904122,False
NME7,0.36407093736680274,0.015366894941716659,0.5207248517904122,False
FECH,0.22122377465234244,0.013219270846668971,0.5207248517904122,False
ATG7,0.22106753255612333,0.015367460644053307,0.5207248517904122,False
MRPL39,0.31058370478278086,0.011389485030442332,0.5207248517904122,False
COQ3,0.3234175387984859,0.010304069629248607,0.5207248517904122,False
DPY19L2P2,0.5775702729249463,0.010365644997455781,0.5207248517904122,False
PRIM1,0.4378940242060274,0.012396424524604994,0.5207248517904122,False
SPTSSA,0.31478675578954096,0.012140069771451574,0.5207248517904122,False
XYLB,-0.5615311281216968,0.009506738004136685,0.5207248517904122,False
RP3-522P13.2,0.2369612895917843,0.012418604283168367,0.5207248517904122,False
CEP290,0.30246509650642484,0.014592735266686085,0.5207248517904122,False
OCRL,0.38738826727205655,0.01032873210398241,0.5207248517904122,False
RNF43,0.6296928745559605,0.010259458402082084,0.5207248517904122,False
SPI1,-0.6001081612389063,0.014871620001499814,0.5207248517904122,False
HOXB9,0.6938608203541392,0.009163046429399687,0.5207248517904122,False
ECE1,-0.5414137017458298,0.0151593763737307,0.5207248517904122,False
DUT,0.3067117105288446,0.013995309933530275,0.5207248517904122,False
FNDC3A,-0.32265565803697704,0.01087115146455506,0.5207248517904122,False
CD74,-1.0150846525358368,0.010163721233735915,0.5207248517904122,False
COQ9,0.3410564635758426,0.011141836709865731,0.5207248517904122,False
STX18,-0.16852325723013983,0.010200557147650889,0.5207248517904122,False
AIMP2,0.277753142742732,0.012820390896913619,0.5207248517904122,False
DKK1,1.113099728590253,0.01000976510701105,0.5207248517904122,False
KCNA4,0.49455985930851387,0.012449930695121583,0.5207248517904122,False
HP,-0.5356450229503009,0.012484957373325065,0.5207248517904122,False
ANXA6,-0.5925574197937511,0.011641331312935146,0.5207248517904122,False
FAM76A,0.6342757100044594,0.009328255638218506,0.5207248517904122,False
TIMELESS,0.2410174192073633,0.013864217273347194,0.5207248517904122,False
ARAF,-0.21539267432920894,0.010877063487096099,0.5207248517904122,False
TAPBP,-0.4156215044590521,0.01059389961489064,0.5207248517904122,False
GCLC,0.29118862007052826,0.014186344963642036,0.5207248517904122,False
IGHD,-1.1102961874718638,0.012764298420198564,0.5207248517904122,False
DCUN1D4,0.29550091390300004,0.012245108325767882,0.5207248517904122,False
IFNGR1,-0.4155318220882389,0.010432733007795804,0.5207248517904122,False
NCAN,0.2560448411968448,0.015157164757578312,0.5207248517904122,False
FAM107A,0.39825901910615435,0.012977391699287293,0.5207248517904122,False
ADAMTS3,0.32809214940671527,0.014151820762360524,0.5207248517904122,False
AMIGO2,-0.5374946290328708,0.009456707520313013,0.5207248517904122,False
LRRC20,0.5581610292588755,0.01215495055996102,0.5207248517904122,False
DUSP14,0.42230158715261723,0.015550022852681557,0.5207248517904122,False
NUP107,0.22028476972648647,0.011373106289184353,0.5207248517904122,False
NPM1P22,0.31946840188143355,0.013224994592739316,0.5207248517904122,False
MARCKS,-1.5496364815157264,0.008734367177186913,0.5207248517904122,False
CRYGC,-0.5216176920594711,0.011445163942947001,0.5207248517904122,False
