Gene Symbol,log2FC,pval,adj_pval,significant,gran_corr,purity_flag
SDAD1,-0.5033563244578421,5.841517606193181e-06,0.0009203909773988839,False,,False
RPS10,0.6975620418769761,5.943822007781226e-06,0.0009203909773988839,False,,False
SEPT5-GP1BB,2.509650653804358,5.96308720167119e-06,0.0009203909773988839,True,-0.2640022160297863,False
THEMIS2,-0.8913730580393011,5.979725319657325e-06,0.0009203909773988839,False,,False
NDUFA3,0.676005552480845,6.055511305520743e-06,0.0009213425649560698,False,,False
LSM2,0.5952988911315291,6.295285000944067e-06,0.0009362998601965912,False,,False
STK25,1.7668290971034653,6.22925624351769e-06,0.0009362998601965912,True,-0.459266523725801,False
ATP5L,0.47753083344708536,6.6053211260089445e-06,0.0009401573736019398,False,,False
EIF4EBP2,-0.5221157308647495,6.6020320651495846e-06,0.0009401573736019398,False,,False
UQCR11,0.6725030122243432,6.473659712848242e-06,0.0009401573736019398,False,,False
HLA-F,0.959189417806229,6.5483454000414385e-06,0.0009401573736019398,False,,False
FAM21A,-0.3745206103638754,6.75029383480208e-06,0.0009505706328859057,False,,False
PRG2,-3.930318624359497,7.154943446394593e-06,0.0009969472252623708,True,0.7828719424379897,True
OVOL1,-1.8076898264742,7.93554979075041e-06,0.0010829162121666306,True,0.338223240320082,False
RNF126,0.5825726435932186,7.858344003546179e-06,0.0010829162121666306,False,,False
KXD1,0.4588723796188461,8.10509295550247e-06,0.0010874412565147827,False,,False
BAG3,-0.7853422308513398,8.133012343806261e-06,0.0010874412565147827,False,,False
CNN2,0.7244704412291014,8.471391172196223e-06,0.001121358049463614,False,,False
DKK1,1.6348653371198125,8.557063610037306e-06,0.0011214836733273645,True,-0.3189179670716271,False
ANKRD17,-0.5487533409265151,8.723154133985033e-06,0.0011320430516819596,False,,False
TOR4A,0.9515916890627754,8.994116179464343e-06,0.0011558749113356262,False,,False
TAF9B,-0.7908751991585827,9.156778408656673e-06,0.0011654641903402728,False,,False
EIF3G,0.9213834054463224,9.55846196321431e-06,0.0012050034381625506,False,,False
RPL39,0.6022748503340782,9.731542911316639e-06,0.0012152493728028147,False,,False
IFFO1,-0.5974514755197973,9.844046881683173e-06,0.0012178097997461695,False,,False
HIF1A,-1.5764157726955883,9.944215591491689e-06,0.001218810942449773,True,0.48599177939288973,False
PI3,0.818661284087681,1.0492392158442166e-05,0.0012741999541403572,False,,False
RPL18AP16,1.2320668036850684,1.0683318873825715e-05,0.001285591744843918,True,-0.48225094647995054,False
PRB4,-0.8007336217442091,1.1177125280935623e-05,0.0013328973634571606,False,,False
EPX,-2.6168133006423906,1.1407761554076561e-05,0.0013482548186724236,True,0.5437203552472657,True
MIA,1.2844049289056052,1.152946202561355e-05,0.0013505795471951021,True,-0.016317907779442788,False
SNRPN,0.5268751539844292,1.165265231796514e-05,0.0013530364801131978,False,,False
SEC61A2,-1.18355550810863,1.2082448097748498e-05,0.0013787531506025592,True,0.3098913011122353,False
NCR3,1.6291934792271254,1.2011641595868545e-05,0.0013787531506025592,True,-0.14892680807292805,False
RAB5A,-0.4460737113742148,1.2310012276248332e-05,0.0013927148076982834,False,,False
RPL35,0.6340154312240216,1.2661722005943254e-05,0.0014203662219717868,False,,False
CCL13,-1.6787560270871218,1.2800596586521494e-05,0.0014238781261830672,True,0.26821418391237645,False
CNOT7,0.34933281911321323,1.37232658128957e-05,0.0015137905797108365,False,,False
RPS8,0.5884056512098503,1.4415469186211555e-05,0.0015304272933873101,False,,False
TCF3,0.7535473908333135,1.4287048093251628e-05,0.0015304272933873101,False,,False
GOLGA6L4,-0.9310902877040004,1.4045180194186363e-05,0.0015304272933873101,False,,False
DES,1.903890851497808,1.4435909500084864e-05,0.0015304272933873101,True,-0.2999942260981273,False
RPL23A,0.5218030578774204,1.4452172824160595e-05,0.0015304272933873101,False,,False
RPL27A,0.43993409075676126,1.4781163042892099e-05,0.0015528432952282756,False,,False
RPL24,0.6968683150537274,1.512561542410467e-05,0.0015552607497386372,False,,False
RPS3,0.7618745137746963,1.500833519743637e-05,0.0015552607497386372,False,,False
GNAI3,-0.46270586993844276,1.5156654583084099e-05,0.0015552607497386372,False,,False
PRG3,-2.7979728757690303,1.6140600147085153e-05,0.00157097885402181,True,0.7309839388298196,True
SMCHD1,-1.1019403335618971,1.5670471841766146e-05,0.00157097885402181,True,0.18678237817654125,False
NBEA,0.955456576939957,1.5952646238859818e-05,0.00157097885402181,False,,False
GJC2,0.69061843031891,1.607870167952927e-05,0.00157097885402181,False,,False
PSMB3,0.49751263272130863,1.5483377693641395e-05,0.00157097885402181,False,,False
HGSNAT,-1.1641966599003704,1.577931589619418e-05,0.00157097885402181,True,0.28847248502682055,False
PARD6A,0.6242868497441627,1.5920026458527237e-05,0.00157097885402181,False,,False
RAB30,-0.9586529835424713,1.7258123190617998e-05,0.0016674874209796381,False,,False
RAPGEFL1,0.7544870166385329,1.7600866173085992e-05,0.0016882801850227483,False,,False
MAT2B,0.3930969076281894,1.7814173207632064e-05,0.0016964475593483858,False,,False
RPL18A,0.6580612087751092,1.8046966058602668e-05,0.0016969011936651009,False,,False
LRRC36,1.6522398343646643,1.8075324341374876e-05,0.0016969011936651009,True,-0.19509248275439514,False
CREBZF,-0.7518748060453699,1.82768818545472e-05,0.001703740035976347,False,,False
INTS1,0.8105795908743723,1.8980579292219257e-05,0.0017569645321056384,False,,False
RBMX2,0.6918354710665326,1.9433029362125353e-05,0.0017863542337948147,False,,False
DRG1,0.6379884374488043,1.995748163930796e-05,0.0018219116169622032,False,,False
PIK3C2A,-0.6506708268731902,2.1436286329161674e-05,0.0018791531267490932,False,,False
LYVE1,-2.4835413059542386,2.1268927396454994e-05,0.0018791531267490932,True,0.7213974983554943,True
TMEM41B,-0.42922359616051686,2.1116819778722453e-05,0.0018791531267490932,False,,False
RP11-348N5.7,-1.5867410063082303,2.124394293379819e-05,0.0018791531267490932,True,0.2671369863491573,False
EVX1,1.0548162290295124,2.073208993703805e-05,0.0018791531267490932,True,0.00017835437985935676,False
ECSIT,0.8279315283598336,2.14238999790223e-05,0.0018791531267490932,False,,False
AVPI1,-0.43950413270873767,2.3235725628258262e-05,0.002017802589219362,False,,False
TLR4,-1.2997474319132598,2.3322791882644284e-05,0.002017802589219362,True,0.3410535376017461,False
PTP4A2,-0.4051465437646371,2.588041967820797e-05,0.0021925939781229473,False,,False
RPSA,0.7624155881212342,2.5821366685634584e-05,0.0021925939781229473,False,,False
B2M,0.45602638570337994,2.6005685167734587e-05,0.0021925939781229473,False,,False
CTSH,-1.6928884233277284,2.566577477243384e-05,0.0021925939781229473,True,0.6870608381634566,True
AZIN1,-0.42701607047207624,2.6585201309371686e-05,0.002218576111303219,False,,False
COBLL1,-0.549250184651072,2.6649059582776452e-05,0.002218576111303219,False,,False
ITPK1,-0.5657718104088332,2.7088720770706126e-05,0.002241083730261481,False,,False
MATK,0.8011964655575214,2.7653939561243285e-05,0.0022595999874825763,False,,False
SESN1,-0.8805221680610344,2.7638215880320587e-05,0.0022595999874825763,False,,False
ADAM3A,2.330246715029859,2.805877475547099e-05,0.002278613505755641,True,-0.143278507025136,False
RPL30,0.6337549137396827,2.892797772691549e-05,0.0023348758607998803,False,,False
UNC13A,1.3340159864844203,2.9420433114568817e-05,0.0023485583119631473,True,-0.008644697771933704,False
C18orf32,0.6196385424877722,2.945234417057358e-05,0.0023485583119631473,False,,False
PPIH,1.1221249659091468,2.9918319423909104e-05,0.002357314251275505,True,-0.3010989919521143,False
PTER,-0.5654035864615601,2.9860777482476002e-05,0.002357314251275505,False,,False
SLC5A3,-1.153367005575907,3.040633883959973e-05,0.0023809537486801525,True,0.24240662500821966,False
CSGALNACT2,-0.7205788325158942,3.0578086974059523e-05,0.0023809537486801525,False,,False
GDPD5,1.359703887969145,3.085946205579753e-05,0.0023888111066233445,True,-0.22562542471034305,False
PID1,-2.1005879985548033,3.1668018972407056e-05,0.002437148646149722,True,0.5350803060221012,True
CCDC69,0.7690155117243833,3.217857819863245e-05,0.002462126240550854,False,,False
KCNMB3,-1.1742015137724522,3.289159732556859e-05,0.002502218814934204,True,0.2935803808592327,False
GATM,-1.1777242031478217,3.3330840062877545e-05,0.002521144742356057,True,0.29754508238621685,False
MMP19,-1.6025732542158666,3.391581196892107e-05,0.0025508159263216376,True,0.3925198062821041,False
EMP2,-1.1536010239421568,3.442372430773905e-05,0.0025743889189917615,True,0.35340872159390047,False
MKNK2,0.7354856504734464,3.6823269092733864e-05,0.002738368612250102,False,,False
METTL10,0.6375962354256277,3.722245343650675e-05,0.002752590034296312,False,,False
PCBP3,1.3486620487896497,3.810381671891378e-05,0.0027866310602666393,True,-0.16914437079385503,False
PDK3,-0.4812165894930711,3.807095099168061e-05,0.0027866310602666393,False,,False
ANXA1,-2.007420639774555,3.852943138146933e-05,0.0028022751823984036,True,0.41307321668072317,False
SCML2,0.6950046884836887,3.913708950026386e-05,0.0028309161405190857,False,,False
CDC27,-0.3871052945798059,3.96925795405071e-05,0.0028400577047442838,False,,False
FHOD1,-0.9195469502009477,3.963960967385943e-05,0.0028400577047442838,False,,False
S100PBP,-0.6361751988422846,4.0179976964160385e-05,0.0028441837169764224,False,,False
RPL23,0.674997230874725,4.006946690191691e-05,0.0028441837169764224,False,,False
SNRPD2,0.6139175517352982,4.183319526324487e-05,0.002929873046029483,False,,False
RPS21,0.6696814076756663,4.180356971213522e-05,0.002929873046029483,False,,False
CXCL2,-1.9039433084867685,4.276422851840573e-05,0.0029793162784112455,True,0.6612477386442945,True
NRAS,-0.6617273752032666,4.3873677125877583e-05,0.0030406066184044058,False,,False
NBEAL1,0.5487748374253449,4.488482396342408e-05,0.003077896437787426,False,,False
RPS3A,0.4669703583866731,4.510930791952562e-05,0.003077896437787426,False,,False
KIF3B,0.5745974594620638,4.492607060457751e-05,0.003077896437787426,False,,False
EIF3F,0.6019559139099044,4.625656242220178e-05,0.0031081122679324107,False,,False
ESRRG,1.5188706481313616,4.5941413695503214e-05,0.0031081122679324107,True,-0.2434292165114635,False
C5AR1,-2.0650422525140133,4.6045992891137286e-05,0.0031081122679324107,True,0.6650260520959349,True
PSMB6,0.6922344788627761,4.723623866131319e-05,0.003157909551312135,False,,False
HIVEP1,-0.9725863961261876,5.0673733893984234e-05,0.0033706945505259764,False,,False
SGPL1,-0.8895571428779689,5.102445698028457e-05,0.0033770536852401343,False,,False
